u_id,u_teamid,belief1,belief2,belief3,belief4,belief5,belief6,belief7,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,stat1,stat2,stat3,stat4,stat5,stat6,stat7,pro_immigrant,Group.1,Hsup,stats,topic,belief,immig,concl
45,22,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,4,4,4,2,5,1,1,6,22,0,0.2384691364076737,-0.3214003103241344,0.44707661930296194,1.7034482758620664,-0.20975056689342403
46,22,2,3,2,2,2,2,3,1,1,1,1,0,0,0,0,0,4,4,4,4,4,1,1,5,22,0,0.04087229119342975,-0.3391835032338235,-0.27848271431592564,0.7034482758620684,-0.20975056689342383
47,23,2,3,4,4,2,4,2,2,1,1,2,1,0,0,0,0,3,3,3,1,4,1,1,4,23,0,-0.2919173295596213,-0.1700541475699333,0.2374646658238803,-0.2965517241379323,-0.20975056689342403
5,2,3,3,3,3,3,3,3,2,2,3,4,0,0,0,0,0,4,4,5,6,3,1,3,4,2,0,0.1825920172074324,0.05804267105284329,0.42503244489047015,-0.29655172413792896,-0.20975056689342414
51,26,3,3,2,2,2,3,3,3,1,3,5,1,0,1,0,1,4,4,3,8,4,1,2,4,26,1,0.39283351807036776,0.8572072025062021,-0.023491365520669088,-0.29655172413792985,0.7902494331065767
52,26,4,3,2,2,4,4,3,1,3,3,5,1,0,0,1,1,4,4,4,7,4,2,2,3,26,1,0.45643226020674416,0.8191374309238083,0.5831809142299377,-1.296551724137932,0.7902494331065749
54,28,2,3,2,2,2,3,2,1,2,1,5,1,0,0,0,0,3,4,3,1,4,1,3,1,28,0,0.07530333987708462,-0.011833022102334324,-0.39588600757431214,-3.296551724137934,-0.2097505668934242
55,28,2,4,1,1,2,2,1,3,3,3,5,1,1,0,0,0,2,3,3,3,4,3,3,3,28,0,0.1885004935441291,0.572951424250868,-0.7795352403544128,-1.2965517241379305,-0.20975056689342483
56,28,2,3,2,3,3,3,3,2,3,1,5,1,0,0,0,0,4,4,4,3,4,2,3,4,28,0,0.42683590640377655,0.1384037284634666,0.12225408997485544,-0.29655172413793024,-0.20975056689342367
57,29,2,3,2,2,3,4,2,3,2,1,2,0,0,0,0,0,3,4,3,5,3,1,3,4,29,0.5,-0.11314177724497258,-0.07933213304784023,-0.13267740393922273,-0.2965517241379292,0.29024943310657725
58,29,2,3,1,2,2,3,3,3,3,1,4,1,0,0,0,0,4,4,4,1,4,1,3,5,29,0.5,0.33360483281172065,0.18825145990267145,-0.31011122462229807,0.7034482758620713,0.29024943310657747
59,30,2,3,3,2,3,2,3,3,1,1,3,0,0,0,0,0,3,3,3,12,4,3,3,4,30,0,0.36095589832214653,-0.1180084132195373,-0.046015173925773686,-0.2965517241379292,-0.20975056689342317
