"id","peer_mean","peer_N"
"t59m2",4.66666666666667,6
"t59m3",4.66666666666667,6
"t59m4",4.66666666666667,6
"t59m5",4.66666666666667,6
"t59m6",4.66666666666667,6
"t59m7",4.66666666666667,6
"t59m8",4.66666666666667,6
"t59m9",4.66666666666667,6
"t59m10",4.66666666666667,6
"t59m11",4.66666666666667,6
"t59m12",4.66666666666667,6
"t59m13",4.66666666666667,6
"t59m14",4.66666666666667,6
"t59m15",4.66666666666667,6
"t59m16",4.66666666666667,6
"t59m17",4.66666666666667,6
"t59m18",4.66666666666667,6
"t59m19",4.66666666666667,6
"t59m20",4.66666666666667,6
"t59m21",4.66666666666667,6
"t59m22",4.66666666666667,6
"t59m23",4.66666666666667,6
"t59m24",4.66666666666667,6
"t60m1",4.92,25
"t60m2",4.92,25
"t60m3",4.92,25
"t60m4",4.92,25
"t60m5",4.07692307692308,13
"t60m6",4.07692307692308,13
"t60m7",4.07692307692308,13
"t60m8",4.07692307692308,13
"t60m9",4.07692307692308,13
"t60m10",4.07692307692308,13
"t60m11",4.07692307692308,13
"t60m12",4.07692307692308,13
"t60m13",4.92,25
"t60m14",4.92,25
"t60m15",4.92,25
"t60m16",4.92,25
"t60m17",4.07692307692308,13
"t60m18",4.07692307692308,13
"t60m19",4.07692307692308,13
"t60m20",4.07692307692308,13
"t60m21",4.07692307692308,13
"t60m22",4.07692307692308,13
"t60m23",4.07692307692308,13
"t60m24",4.07692307692308,13
"t61m1",4.14285714285714,21
"t61m2",4.14285714285714,21
"t61m3",4.14285714285714,21
"t61m4",4.14285714285714,21
"t61m5",4.14285714285714,21
"t61m6",4.14285714285714,21
"t61m7",3.71428571428571,7
"t61m8",3.71428571428571,7
"t61m9",3.71428571428571,7
"t61m10",3.71428571428571,7
"t61m11",3.71428571428571,7
"t61m12",3.71428571428571,7
"t61m13",NA,NA
"t61m14",NA,NA
"t61m15",NA,NA
"t61m16",NA,NA
"t61m17",NA,NA
"t61m18",NA,NA
"t61m19",NA,NA
"t61m20",NA,NA
"t61m21",NA,NA
"t61m22",NA,NA
"t61m23",NA,NA
"t61m24",NA,NA
"t62m1",3.28571428571429,7
"t62m2",3.28571428571429,7
"t62m3",3.28571428571429,7
"t62m4",3.28571428571429,7
"t62m5",3.28571428571429,7
"t62m6",3.28571428571429,7
"t62m7",3.28571428571429,7
"t62m8",3.28571428571429,7
"t62m9",3.28571428571429,7
"t62m10",3.28571428571429,7
"t62m11",3.28571428571429,7
"t62m12",3.28571428571429,7
"t62m13",3.28571428571429,7
"t62m14",3.28571428571429,7
"t62m15",3.28571428571429,7
"t62m16",3.28571428571429,7
"t64m1",4.5625,32
"t64m2",4.55555555555556,18
"t64m3",4.48484848484848,33
"t64m4",4.47368421052632,19
"t64m5",4.42857142857143,21
"t64m6",4.66666666666667,12
"t64m7",4.14285714285714,7
"t64m8",NA,NA
"t64m9",4.55,20
"t64m10",4.66666666666667,12
"t64m11",4.48148148148148,27
"t64m12",4.66666666666667,12
"t64m13",4.48148148148148,27
"t64m14",4.66666666666667,12
"t64m15",2,5
"t64m16",NA,NA
"t65m1",4.92,25
"t65m2",4.92,25
"t65m3",4.92,25
"t65m4",4.92,25
"t65m5",4.8,5
"t65m6",4.8,5
"t65m7",4.8,5
"t65m8",4.8,5
"t65m9",4.75675675675676,37
"t65m10",4.75675675675676,37
"t65m11",4.75675675675676,37
"t65m12",4.75675675675676,37
"t65m13",4.92,25
"t65m14",4.92,25
"t65m15",4.92,25
"t65m16",4.92,25
"t65m17",4.8,5
"t65m18",4.8,5
"t65m19",4.8,5
"t65m20",4.8,5
"t65m21",4.75675675675676,37
"t65m22",4.75675675675676,37
"t65m23",4.75675675675676,37
"t65m24",4.75675675675676,37
"t65m25",4.92,25
"t65m26",4.92,25
"t65m27",4.92,25
"t65m28",4.92,25
"t65m29",4.8,5
"t65m30",4.8,5
"t65m31",4.8,5
"t65m32",4.8,5
"t65m33",4.75675675675676,37
"t65m34",4.75675675675676,37
"t65m35",4.75675675675676,37
"t65m36",4.75675675675676,37
"t68m1",4.33333333333333,6
"t68m2",4.33333333333333,6
"t68m3",4.33333333333333,6
"t68m4",4.33333333333333,6
"t68m5",4.33333333333333,6
"t68m6",4.33333333333333,6
"t68m7",4.33333333333333,6
"t68m8",4.33333333333333,6
"t68m9",4.33333333333333,6
"t68m10",4.33333333333333,6
"t68m11",4.33333333333333,6
"t68m12",4.33333333333333,6
"t68m13",4.33333333333333,6
"t68m14",4.33333333333333,6
"t68m15",4.33333333333333,6
"t68m16",4.33333333333333,6
"t68m17",4.33333333333333,6
"t68m18",4.33333333333333,6
"t68m19",4.33333333333333,6
"t68m20",4.33333333333333,6
"t68m21",4.33333333333333,6
"t68m22",4.33333333333333,6
"t68m23",4.33333333333333,6
"t68m24",4.33333333333333,6
"t68m25",4.33333333333333,6
"t68m26",4.33333333333333,6
"t68m27",4.33333333333333,6
"t68m28",4.33333333333333,6
"t68m29",4.33333333333333,6
"t68m30",4.33333333333333,6
"t68m31",4.33333333333333,6
"t68m32",4.33333333333333,6
"t68m33",4.33333333333333,6
"t68m34",4.33333333333333,6
"t68m35",4.33333333333333,6
"t68m36",4.33333333333333,6
"t68m37",4.33333333333333,6
"t68m38",4.33333333333333,6
"t68m39",4.33333333333333,6
"t68m40",4.33333333333333,6
"t68m41",4.33333333333333,6
"t68m42",4.33333333333333,6
"t68m43",4.33333333333333,6
"t68m44",4.33333333333333,6
"t68m45",4.33333333333333,6
"t68m46",4.33333333333333,6
"t68m47",4.33333333333333,6
"t68m48",4.33333333333333,6
"t68m49",4.33333333333333,6
"t68m50",4.33333333333333,6
"t68m51",4.33333333333333,6
"t68m52",4.33333333333333,6
"t68m53",4.33333333333333,6
"t68m54",4.33333333333333,6
"t68m55",4.33333333333333,6
"t68m56",4.33333333333333,6
"t68m57",4.33333333333333,6
"t68m58",4.33333333333333,6
"t68m59",4.33333333333333,6
"t68m60",4.33333333333333,6
"t68m61",4.33333333333333,6
"t68m62",4.33333333333333,6
"t68m63",4.33333333333333,6
"t68m64",4.33333333333333,6
"t68m65",4.33333333333333,6
"t68m66",4.33333333333333,6
"t68m67",4.33333333333333,6
"t68m68",4.33333333333333,6
"t68m69",4.33333333333333,6
"t68m70",4.33333333333333,6
"t68m71",4.33333333333333,6
"t68m72",4.33333333333333,6
"t68m73",4.33333333333333,6
"t68m74",4.33333333333333,6
"t68m75",4.33333333333333,6
"t68m76",4.33333333333333,6
"t68m77",4.33333333333333,6
"t68m78",4.33333333333333,6
"t68m79",4.33333333333333,6
"t68m80",4.33333333333333,6
"t68m81",4.33333333333333,6
"t68m82",4.33333333333333,6
"t68m83",4.33333333333333,6
"t68m84",4.33333333333333,6
"t68m85",4.33333333333333,6
"t68m86",4.33333333333333,6
"t68m87",4.33333333333333,6
"t68m88",4.33333333333333,6
"t68m89",4.33333333333333,6
"t68m90",4.33333333333333,6
"t68m91",4.33333333333333,6
"t68m92",4.33333333333333,6
"t68m93",4.33333333333333,6
"t68m94",4.33333333333333,6
"t68m95",4.33333333333333,6
"t68m96",4.33333333333333,6
"t68m97",4.33333333333333,6
"t68m98",4.33333333333333,6
"t68m99",4.33333333333333,6
"t68m100",4.33333333333333,6
"t68m101",4.33333333333333,6
"t68m102",4.33333333333333,6
"t68m103",4.33333333333333,6
"t68m104",4.33333333333333,6
"t68m105",4.33333333333333,6
"t68m106",4.33333333333333,6
"t68m107",4.33333333333333,6
"t68m108",4.33333333333333,6
"t68m109",4.33333333333333,6
"t68m110",4.33333333333333,6
"t68m111",4.33333333333333,6
"t68m112",4.33333333333333,6
"t69m1",4.66666666666667,6
"t69m2",4.66666666666667,6
"t69m3",4.66666666666667,6
"t69m4",4.66666666666667,6
"t69m5",4.66666666666667,6
"t69m6",4.66666666666667,6
"t69m7",4.66666666666667,6
"t69m8",4.66666666666667,6
"t69m9",4.66666666666667,6
"t69m10",4.66666666666667,6
"t69m11",4.66666666666667,6
"t69m12",4.66666666666667,6
"t70m1",4.63636363636364,11
"t70m2",4.63636363636364,11
"t70m3",4.63636363636364,11
"t70m4",4.63636363636364,11
"t70m5",4.63636363636364,11
"t70m6",4.63636363636364,11
"t70m7",4.63636363636364,11
"t70m8",4.63636363636364,11
"t70m9",4.63636363636364,11
"t70m10",4.63636363636364,11
"t70m11",4.63636363636364,11
"t70m12",4.63636363636364,11
"t70m13",4.63636363636364,11
"t70m14",4.63636363636364,11
"t70m15",4.63636363636364,11
"t70m16",4.63636363636364,11
"t72m1",4.14285714285714,7
"t72m2",4.14285714285714,7
