dv,testvar,spec,ctrl,coef,tstat
ame,group1,no,stats_brw topic_brw t2,-.0232609764256286,-.773839608731799
ame,group3,no,stats_brw topic_brw t2,.0155831359616102,.8955973894962559
ame,group1,no,stats_brw topic_brw t3,-.0233473649836433,-.8176980507047228
ame,group3,no,stats_brw topic_brw t3,.0162255815882489,.9522138075923423
ame,group1,no,stats_brw topic_brw i.mdegree,-.0595390465951565,-2.048259084381947
ame,group3,no,stats_brw topic_brw i.mdegree,.0262761294861461,1.774063690140272
ame,group1,no,stats_brw t2 t3,-.0274270608171275,-.923796566693505
ame,group3,no,stats_brw t2 t3,.0185411416208205,.9716044373700526
ame,group1,no,stats_brw t2 i.mdegree,-.0562747817752483,-1.916287043981491
ame,group3,no,stats_brw t2 i.mdegree,.0357488257224541,2.161270297211303
ame,group1,no,stats_brw t3 i.mdegree,-.0580341805330651,-1.891989327662803
ame,group3,no,stats_brw t3 i.mdegree,.0338049150950659,1.998004374636126
ame,group1,no,topic_brw t2 t3,-.0410569361954838,-1.255669941136311
ame,group3,no,topic_brw t2 t3,.0167804803856029,.90763521848256
ame,group1,no,topic_brw t2 i.mdegree,-.0708956750145135,-2.040809616268807
ame,group3,no,topic_brw t2 i.mdegree,.0334683180862958,2.129286367811839
ame,group1,no,topic_brw t3 i.mdegree,-.0698034316265633,-1.994070794298125
ame,group3,no,topic_brw t3 i.mdegree,.0335188160475273,2.057262224402628
ame,group1,no,t2 t3 i.mdegree,-.0600955996211131,-1.716029649532323
ame,group3,no,t2 t3 i.mdegree,.0373464368614707,2.204838662036199
ame,group1,no,stats_brw topic_brw t2 t3,-.0253193655908213,-.8525665081028886
ame,group3,no,stats_brw topic_brw t2 t3,.0154230144511916,.882237339510585
ame,group1,no,stats_brw topic_brw t2 i.mdegree,-.0586488628755107,-2.050393409377366
ame,group3,no,stats_brw topic_brw t2 i.mdegree,.0268513551881752,1.839558270249828
ame,group1,no,stats_brw topic_brw t3 i.mdegree,-.0600103485818528,-2.107060724441783
ame,group3,no,stats_brw topic_brw t3 i.mdegree,.025716046708439,1.765508608241993
ame,group1,no,stats_brw t2 t3 i.mdegree,-.0531497207349339,-1.668905287247824
ame,group3,no,stats_brw t2 t3 i.mdegree,.036513604101041,2.154071216892778
ame,group1,no,topic_brw t2 t3 i.mdegree,-.0689743677575726,-1.893945492250555
ame,group3,no,topic_brw t2 t3 i.mdegree,.0340048910045166,2.125642356076026
ame,group1,no,stats_brw topic_brw t2 t3 i.mdegree,-.0572476378537847,-1.868609092112488
ame,group3,no,stats_brw topic_brw t2 t3 i.mdegree,.0272753726580193,1.849695381380734
neg10s,proindex,yes,,-.038792443828316,-1.911289869844468
neg10s,proindex,yes,stats_brw,-.0370605864487231,-1.893540889554509
neg10s,proindex,yes,topic_brw,-.039268991641563,-1.963245159377239
neg10s,proindex,yes,t2,-.0389223606218179,-1.971438276158794
neg10s,proindex,yes,t3,-.0389238975846467,-1.93631932863788
neg10s,proindex,yes,i.mdegree,-.0600880365796546,-2.233879278830161
neg10s,proindex,yes,stats_brw topic_brw,-.0335280172001825,-1.877730586577282
neg10s,proindex,yes,stats_brw t2,-.0370410991281401,-1.93710261675359
neg10s,proindex,yes,stats_brw t3,-.0370830781711773,-1.923687208824968
neg10s,proindex,yes,stats_brw i.mdegree,-.0577599319351869,-2.311497580308743
neg10s,proindex,yes,topic_brw t2,-.0394394832221233,-2.037098943749527
neg10s,proindex,yes,topic_brw t3,-.0393872974510111,-1.981789844738566
neg10s,proindex,yes,topic_brw i.mdegree,-.0590007292099185,-2.187104724082562
neg10s,proindex,yes,t2 t3,-.0407954779868145,-2.078939913545366
neg10s,proindex,yes,t2 i.mdegree,-.0601925510558213,-2.276747481403758
neg10s,proindex,yes,t3 i.mdegree,-.060104393326836,-2.253883924077055
neg10s,proindex,yes,stats_brw topic_brw t2,-.0331657375729974,-1.925090223174848
neg10s,proindex,yes,stats_brw topic_brw t3,-.033521133285532,-1.904137950339172
neg10s,proindex,yes,stats_brw topic_brw i.mdegree,-.0512940188590701,-2.357788246112455
neg10s,proindex,yes,stats_brw t2 t3,-.0389014484585701,-2.058495349529748
neg10s,proindex,yes,stats_brw t2 i.mdegree,-.0577308551513638,-2.348035860196477
neg10s,proindex,yes,stats_brw t3 i.mdegree,-.0577623887899457,-2.338719134946823
neg10s,proindex,yes,topic_brw t2 t3,-.0412236341000084,-2.123030628749734
neg10s,proindex,yes,topic_brw t2 i.mdegree,-.0591055596781586,-2.230921109776919
neg10s,proindex,yes,topic_brw t3 i.mdegree,-.0589925628326681,-2.215143148978944
neg10s,proindex,yes,t2 t3 i.mdegree,-.0605396912220213,-2.327836270428837
neg10s,proindex,yes,stats_brw topic_brw t2 t3,-.0350083179851968,-2.023193054154357
neg10s,proindex,yes,stats_brw topic_brw t2 i.mdegree,-.0510319666732621,-2.401790441481178
neg10s,proindex,yes,stats_brw topic_brw t3 i.mdegree,-.0510964134437644,-2.434614920808887
neg10s,proindex,yes,stats_brw t2 t3 i.mdegree,-.0580655534164248,-2.396766920636706
neg10s,proindex,yes,topic_brw t2 t3 i.mdegree,-.0594821501924,-2.292785955268599
neg10s,proindex,yes,stats_brw topic_brw t2 t3 i.mdegree,-.0514097417624834,-2.489545806479176
neg10s,p12,yes,,.1085156855567605,1.046282269688634
neg10s,p12,yes,stats_brw,.0941448452056155,.974616083229274
neg10s,p12,yes,topic_brw,.1302858216047751,1.240860069248114
neg10s,p12,yes,t2,.1119158629426104,1.075309409268236
neg10s,p12,yes,t3,.1097351234495015,1.063750027872185
neg10s,p12,yes,i.mdegree,.175592129784636,1.402447762492551
neg10s,p12,yes,stats_brw topic_brw,.0936626549873407,.9968093291375068
neg10s,p12,yes,stats_brw t2,.0955172091884713,.9691891580473763
neg10s,p12,yes,stats_brw t3,.0943980861392178,.9907931599453293
neg10s,p12,yes,stats_brw i.mdegree,.1556996550612142,1.426668601139541
neg10s,p12,yes,topic_brw t2,.1360335021884503,1.28973887397483
neg10s,p12,yes,topic_brw t3,.1312776064076346,1.25835560327613
neg10s,p12,yes,topic_brw i.mdegree,.1933182980231656,1.544689023676211
neg10s,p12,yes,t2 t3,.1338256745659725,1.229793302398628
neg10s,p12,yes,t2 i.mdegree,.1866802112324751,1.509195264019991
neg10s,p12,yes,t3 i.mdegree,.1760771355787769,1.414543776618341
neg10s,p12,yes,stats_brw topic_brw t2,.0921361226245806,.9768771406681742
neg10s,p12,yes,stats_brw topic_brw t3,.0939450904092565,1.011444714341026
neg10s,p12,yes,stats_brw topic_brw i.mdegree,.167372786348356,1.759134891141857
neg10s,p12,yes,stats_brw t2 t3,.1177491752307906,1.15162705406465
neg10s,p12,yes,stats_brw t2 i.mdegree,.1633343733342975,1.501863849794272
neg10s,p12,yes,stats_brw t3 i.mdegree,.1561019609514075,1.4442511266279
